Nama_Perusahaan,Kelurahan,Kecamatan,Kota,Provinsi,Sektor,Klasifikasi_Perusahaan,Status_Kepemilikan,Pria,Wanita,Total_TK,TKA_Pria,TKA_Wanita,Disabilitas_Pria,Disabilitas_Wanita,PKWTT_Pria,PKWT_Pria,PKWTT_Wanita,PKWT_Wanita,PKWTT_Wanita_Disabilitas,PKWT_Wanita_Disabilitas,PKWTT_Pria_Disabilitas,PKWT_Pria_Disabilitas,Permodalan,PP,PKB
Perusahaan 983,Curug,Cimanggis,KOTA DEPOK,JAWA BARAT,Industri Peralatan Pengontrol Dan Pendistribusian Listrik,Menengah,Swasta,35,5,40,0,0,0,0,35,0,5,0,0,0,0,0,PMDN,Ya,Tidak
Perusahaan 984,Pancoran Mas,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Perdagangan Eceran Makanan Lainnya,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 985,Pengasinan,Sawangan,KOTA DEPOK,JAWA BARAT,null,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 986,Ratu Jaya,Cipayung,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Bunga Dan Tanaman Hias,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 987,Pasir Putih,Sawangan,KOTA DEPOK,JAWA BARAT,Konstruksi Gedung Tempat Tinggal,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 988,Krukut,Limo,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Supermarket/Minimarket",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 989,Beji,Beji,KOTA DEPOK,JAWA BARAT,"Aktivitas Foto Kopi, Penyiapan Dokumen Dan Aktivitas Khusus Penunjang Kantor Lainnya",Mikro,Swasta,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Swasta Nasional,Tidak,Tidak
Perusahaan 990,Kemiri Muka,Beji,KOTA DEPOK,JAWA BARAT,Restoran,Kecil,Swasta,6,2,8,0,0,0,0,2,4,1,1,0,0,0,0,PMA,Ya,Tidak
Perusahaan 991,Cisalak Pasar,Cimanggis,KOTA DEPOK,JAWA BARAT,Industri Produk Roti Dan Kue,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 992,Sukamaju Baru,Tapos,KOTA DEPOK,JAWA BARAT,Konstruksi Gedung Tempat Tinggal,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 993,Cinere,Cinere,KOTA DEPOK,JAWA BARAT,Aktivitas Penyewaan Dan Sewa Guna Usaha Tanpa Hak Opsi Barang Keperluan Rumah Tangga Dan Pribadi Lainnya Ytdl,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 994,Mekar Jaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,null,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 995,Tanah Baru,Beji,KOTA DEPOK,JAWA BARAT,Real Estat Atas Dasar Balas Jasa (Fee) Atau Kontrak,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 996,Beji Timur,Beji,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Pakaian,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 997,Sukamaju,Cilodong,KOTA DEPOK,JAWA BARAT,Industri Pembuatan Logam Dasar Bukan Besi,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 998,Depok,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Pembuatan/Pengeboran Sumur Air Tanah,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 999,Sukamaju,Cilodong,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Supermarket/Minimarket",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 1000,Leuwinanggung,Tapos,KOTA DEPOK,JAWA BARAT,"Aktivitas Hiburan, Seni Dan Kreativitas Lainnya",Menengah,Persero,30,18,48,0,0,0,0,30,0,18,0,0,0,0,0,PMA,Tidak,Tidak
Perusahaan 1001,Tugu,Cimanggis,KOTA DEPOK,JAWA BARAT,Rumah Minum/Kafe,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 1002,Rangkapan Jaya Baru,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Aktivitas Penunjang Asuransi Dan Dana Pensiun Lainnya,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
